service,entityType,name,label,type,maxLength,key,selectProperty
API_PLANNEDORDER,PLANNEDORDERCOMPONENTTYPE,FollowUpGroup,Follow-up Group,String,2.0,,
BR_CTR_SERVICE_O4,REND_DIRITYPE,vl_ir_ret,IR Withheld at Sourc,Decimal,,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,ManufacturerMaterial,Material,String,18.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSEORDERTYPE,ExecutingResource,Resource,String,18.0,,
API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUESTITEM_TYPE,SalesDocument,SD Document,String,10.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,ItemDeliveryAddressID,Address,String,10.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEMPARTNER_TYPE,Supplier,Supplier,String,10.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,OrdPriceUnitToOrderUnitDnmntr,Quantity Conversion,Decimal,,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,CapacityRqmtItemCapacity,Capacity Requirement Item Capacity,String,4.0,True,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYITEMTYPE,SpecialStockIdfgSalesOrderItem,Stock Ident Item,String,6.0,,
API_RETURNSINSPECTION_2,RETURNSINSPECTION_TYPE,RetsInspectionIsToBeConfirmed,Confirmed,Boolean,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,CompanyCode,Company Code,String,4.0,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,PartnerCompany,Trading Partner No.,String,6.0,,
API_WAREHOUSE_RESOURCE_2,WAREHOUSERESOURCETYPE,EWMResourceLogonDateTime,Short Time Stamp,DateTimeOffset,,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,PurchasingDocumentDeletionCode,Deletion Indicator,String,1.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ProductTypeCode,Product Type Group,String,2.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,LastChangeDateTime,Time Stamp,DateTimeOffset,,,
API_QUALITYNOTIFICATION,QUALITYNOTIFICATIONITEMCAUSE_TYPE,CreationTime,Created At,TimeOfDay,,,
API_FREIGHTORDER,FREIGHTORDER_TYPE,TranspPurgOrgExtID,Purch. Org. Ext. ID,String,20.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,OrderPriceUnitToOrderUnitNmrtr,Quantity Conversion,Decimal,,,
API_SALESORDER,SALESORDERITEM_TYPE,CustomerPaymentTerms,Terms of Payment,String,4.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,GrossAmount,Gross order value,Decimal,,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,SrvcContrItmExtnDurnUntSAPCode,Contract Extsn UOM,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,PurchasingProcessingStatus,Proc. State,String,2.0,,True
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,VATRegistrationCountry,Ctry/Rgn Sls Tax No.,String,3.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,CompanyCodeCurrency,Local currency,String,3.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,ReferenceDocument,Source Document,String,10.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,MRPRequiredQuantityInBaseUnit,Required Quantity,Decimal,,,
API_CUSTOMERRETURN,CUSTOMERRETURN_TYPE,AccountingDocExternalReference,Reference,String,16.0,,
API_RETAILPROMOTION,A_RTLPROMNLOCLSTOREGRPSTORE_TYPE,RetailPromotionStoreGroup,Plant group,String,18.0,True,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,PurReqnSSPAuthor,Author,String,12.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,LastChangeDateTime,Last Changed,DateTimeOffset,,,
API_MEASURINGPOINT,MEASURINGPOINTTYPE,CreationDate,Created on,Date,,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,WorkCenterUsage,Work Center Usage,String,3.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ItemNetWeight,Net Weight,Decimal,,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,BillingIssueType,Issue Type,String,1.0,,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYITEMTYPE,EWMWarehouse,Warehouse Number,String,4.0,,
API_RFM_ASSORTMENT_MODULE,EXPLCTASSTMTMDLUSRPRODEXCLSNTYPE,SAP__Messages,,Other,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,Subtotal3Amount,Subtotal 3,Decimal,,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE,ReferenceDocument,Reference Document,String,10.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,LastChangeDate,Changed On,Date,,,
API_WORK_CENTER,WORKCENTERCAPACITYSHIFTTYPE,ShiftDefinition,Shift Definition,String,4.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,SupplierQuotation,Purchasing Document,String,10.0,True,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSEORDERTYPE,WhseOrderLatestStartDateTime,Latest Starting Date,DateTimeOffset,,,
API_FREIGHTORDER,FREIGHTORDEREVENT_TYPE,LastChangedByUser,Changed By,String,12.0,,
API_WORK_CENTER,WORKCENTERPOOLEDCAPACITYTYPE,Plant,Plant,String,4.0,,
API_WORK_CENTER,WORKCENTERDESCRIPTIONTYPE,SAP__Messages,,Other,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,IncotermsTransferLocation,Incoterms (Part 2),String,28.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,PurContrValidityStartDate,Valid From,Date,,,
API_SERVICECONTRACT,SERVICECONTRACT_TYPE,SEPAMandate,Mandate ID,String,35.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,IsFinallyInvoiced,Final Invoice,Boolean,,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,Language,Language,String,2.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,ServiceContractItemCanclnParty,Cancelling Party,String,4.0,,
API_SALESORDER,SALESORDERITEM_TYPE,Route,Route,String,6.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,IsMaterialProvision,Mat. Provision Ind.,Boolean,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ItemHasValueAddedService,VAS Relevant,Boolean,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,CreatedByUser,Created By,String,12.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,Customer,Customer,String,10.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,IncotermsClassification,Incoterms,String,3.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,RespEmployeeBusinessPartnerId,Employee Responsible,String,10.0,,
API_CUSTOMERRETURN,CUSTOMERRETURN_TYPE,IncotermsLocation1,Incoterms Location 1,String,70.0,,
API_SALESORDER,SALESORDERITEM_TYPE,BillingDocumentDate,Billing Date,Date,,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,AddressID,Address,String,10.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,DocumentCurrency,Currency,String,3.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,CashDiscount2Days,Days 2,Decimal,,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,BaseUnit,Base Unit of Measure,String,3.0,,
API_WAREHOUSE_RESOURCE_2,WAREHOUSERESOURCETYPE,EWMCurrentQueue,Actual Queue,String,10.0,,
API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSORTMENTMDLTYPE,Product,Material,String,18.0,True,
API_MEASURINGPOINT,MSRGPOINTCONDITION_TYPE,MeasuringPtConditionIsActive,Active,String,1.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,PurchasingDocumentItemText,Short Text,String,40.0,,
API_SALESORDER,SALESORDER_TYPE,OverallDeliveryBlockStatus,Delivery Block Status,String,1.0,,
API_FREIGHTORDER,FREIGHTORDER_TYPE,PurgOrgCompanyCode,Company Code,String,4.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,RequiredQuantity,Requirement Quantity,Decimal,,,
API_PLANNEDORDER,PLANNEDORDERCOMPONENTTYPE,PlannedOrder,Planned Order,String,10.0,True,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,IncotermsClassification,Incoterms,String,3.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,AlternativeUnit,Alt. Unit of Measure,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,PurContractItemForOverallLimit,PurCon Itm for Limit,String,5.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,Product,Product,String,18.0,,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,TranspOrdItemDngrsGdsSts,Item Dangerous Goods Status,String,1.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEMPARTNER_TYPE,ReferenceBusinessPartner,Business Partner,String,10.0,,
BR_CTR_SERVICE_O4,REND_DIRITYPE,vl_rem_trab,Work Payment,Decimal,,,
API_SALESORDER,SALESORDERITEMPRICINGELMNT_TYPE,ConditionType,Condition Type,String,4.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,IsClosed,Closed,Boolean,,,
API_PRODUCT_AVAILY_INFO,ATPRLVTPRODASSGDSOLDTOPTY_TYPE,SoldToParty,Customer SID,String,10.0,True,
API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,ProductIsMandatoryInAssortment,Mandatory,Boolean,,,
API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUEST_TYPE,ProjectInternalID,Project Def.,String,8.0,,
API_FREIGHTORDER,FREIGHTORDER_TYPE,TransportationOrderType,Transportation Order Type,String,4.0,,
API_SALESORDER,SALESORDER_TYPE,AdditionalCustomerGroup4,Customer Group 4,String,3.0,,
API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,AssortmentModuleUUID,Assortment UUID,Guid,,True,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYHEADTYPE,ShipFromPartyName,Ship-From Party Name,String,40.0,,
API_CNSLDTNFSITEMHIERARCHY,CNSLDTNFSITEMHIERARCHYNODE_TYPE,HierarchyNodeLevel,Hierarchy Level,String,6.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,ServiceDocumentItemTaxAmount,Tax amount,Decimal,,,
API_SALESORDER,SALESORDERITEM_TYPE,WBSElementExternalID,WBS Element,String,24.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,PurchasingDocumentItem,Agreement Item,String,5.0,,
API_RETAILPROMOTION,A_RETAILPROMOTIONITEM_TYPE,SalesQuantityUnit,Sales unit,String,3.0,True,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,ShipperUUID,Shipper UUID,Guid,,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,QuotationSubmissionDate,Quotation Date,Date,,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,WorkCenterFmlaParamValue1,Formula Parameter Value 1,Decimal,,,
API_SERVICECONTRACT,SERVICECONTRACT_TYPE,SalesGroup,Sales Group,String,3.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ServicesRenderedDate,Serv. Rendered Date,Date,,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,ManufacturerPartNmbr,Mfr Part Number,String,40.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,EmrkdFndsItmIsBlkdAgainstUsage,Item Blocked,Boolean,,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,CompanyCode,Company Code,String,4.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,SSPAuthorExternalBPIdnNumber,BP ID of Author,String,60.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,MaterialFreightGroup,Material Freight Grp,String,8.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ProductTaxClassification3,Tax Class.3 Material,String,1.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,DestinationStorageBin,Destination Bin,String,18.0,,
API_FREIGHTORDER,FREIGHTORDERITEM_TYPE,ProductID,Product,String,18.0,,
API_SALESORDER,SALESORDERITEMPRICINGELMNT_TYPE,ConditionAmount,Condition Value,Decimal,,,
API_CNSLDTNCUSTOMER,CNSLDTNCUSTOMER_TYPE,SAP__Messages,,Other,,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,SAP__Messages,,Other,,,
API_SALESORDER,SALESORDERITEMPRICINGELMNT_TYPE,TransactionCurrency,Document Currency,String,3.0,,
API_SERVICECONTRACT,SERVICECONTRACT_TYPE,SrvcContrBillingStatus,Billing Status,String,1.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,ProposedBillingDocumentType,Proposed Billing Type,String,4.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,ItemVolumeUnitISOCode,Volume unit ISO,String,3.0,,
API_FREIGHTORDER,FREIGHTORDEREVENT_TYPE,TransportationOrderUUID,Transportation Order UUID,Guid,,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,WrkCtrTeardownSchedgFmla,Duration of Teardown,String,6.0,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,ContractAccount,Contract Account,String,12.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,ExchangeRateType,Exchange Rate Type,String,4.0,,
API_CNTRLREQFORQUOTATION,CNTRLREQFORQUOTATIONBIDDERTYPE,Supplier,Supplier,String,10.0,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,PurchaseOrderByCustomer,Customer Reference,String,35.0,,
API_WORK_CENTER,WORKCENTERCAPACITYINTERVALTYPE,WorkCenterInternalID,Object ID,String,8.0,True,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,EWMBaseUnitISOCode,ISO Code,String,3.0,,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYSHIFTTYPE,ShiftDefValidityStartDate,Start Date,Date,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,DeliveryDocumentType,Del. Type f. Returns,String,4.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ItemVolume,Volume,Decimal,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,SalesOffice,Sales Office,String,4.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,CustomerTaxClassification3,Tax Class.3 Customer,String,1.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,ConsumptionPosting,Consumption,String,1.0,,
API_CNTRLREQFORQUOTATION,CENTRALRFQITEMDISTRIBUTIONTYPE,CentralRequestForQuotationItem,Item,String,5.0,True,
API_RFM_ASSORTMENT_MODULE,EXPLCTASSTMTMDLUSRPRODEXCLSN_TYPE,Product,Material,String,18.0,True,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,IncotermsVersion,Incoterms Version,String,4.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,WBSElementExternalID,WBS Element,String,24.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,TeardownCapRequirementFormula,Teardown Formula,String,6.0,,
API_CUSTOMERRETURN,CUSTOMERRETURN_TYPE,SDDocumentReason,Returns Order Reason,String,3.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,SalesDocumentItem,Sales Document Item,String,6.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,BaseUnit,Unit of Measure,String,3.0,,
API_SRVCCANCELLATIONREASON,SERVICECANCELLATIONREASON_TYPE,ServiceContrCancellationReason,Cancellation Reason,String,4.0,True,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,Language,Language Key,String,2.0,,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYTYPE,CapIsUsedInMultiOperations,Can Be Used By Several Operations,Boolean,,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,ServicePerformer,Service Performer,String,10.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,QuantityDistributionKey,Distribution Key,String,4.0,,
API_MEASURINGPOINT,MSRGPOINTCONDITION_TYPE,MeasuringPtConditionObjectType,Object Type,String,2.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,IsToBeAcceptedAtOrigin,Origin Acceptance,Boolean,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,CustomerTaxClassification8,Tax Class.8 Customer,String,1.0,,
API_RETAILPROMOTION,A_RETAILPROMOTIONITEM_TYPE,SAP__Messages,,Other,,,
API_CNSLDTNMATERIALGROUP,CNSLDTNMATERIALGROUPTEXT_TYPE,MaterialGroup,Material Group,String,9.0,True,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYSHIFTTYPE,ShiftDefinition,Shift Definition,String,4.0,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE,CompanyCodeCurrency,Local currency,String,3.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,Division,Division,String,2.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,IssuingStorageLocation,Issuing Storage Loc.,String,4.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,PurgAggrgdProdMarketabilitySts,Prod. Marktablty Sts,String,1.0,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,VATRegistration,VAT Registration No.,String,20.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,IncotermsLocation2,Incoterms Location 2,String,70.0,,
API_CNSLDTNGROUPSTRUCTURE,CONSOLIDATIONGROUPSTRUCTURE_TYPE,ConsolidationVersion,Version,String,3.0,True,
API_FREIGHTORDER,FREIGHTORDER_TYPE,TranspOrderDngrsGdsSts,Dangerous Goods Sts,String,1.0,,
API_MEASURINGPOINT,MEASURINGPOINTTYPE,FunctionalLocationLabelName,Functional Location,String,40.0,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,RemainingCapReqOpSegProcgDurn,Remaining Processing,Double,,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,Material,,String,40.0,,True
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,BindingPeriodValidityEndDate,Binding Period,Date,,,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,SoldToParty,Sold-to Party,String,10.0,,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYHEADTYPE,EWMWarehouse,Warehouse Number,String,4.0,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,PurchasingDocumentSubtype,Control indicator,String,1.0,,
API_PLANNEDORDER,PLANNEDORDERCOMPONENTTYPE,BillOfMaterialVariant,Alternative BOM,String,2.0,,
API_WORK_CENTER,WORKCENTERCAPACITYSHIFTTYPE,CapacityInternalID,Capacity ID,String,8.0,True,
API_RFM_ASSORTMENT_MODULE,EXPLCTASSTMTMDLUSRPRODEXCLSN_TYPE,SAP__Messages,,Other,,,
API_WORK_CENTER,WORKCENTERDESCRIPTIONTYPE,WorkCenterDesc,Work Center Text,String,40.0,,
API_SALESORDER,SALESORDERITEMPRICINGELMNT_TYPE,ConditionBaseAmount,Cndn Bs Amt,Decimal,,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,ProductionSupplyArea,Production Supply Area,String,10.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,SoldToParty,Sold-To Party,String,10.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,CountryOfOrigin,Ctry/Reg. of Origin,String,3.0,,
API_SALESORDER,SALESORDER_TYPE,ReferenceDistributionChannel,RefDistCh-Cust/Mat.,String,2.0,,
API_PLANNEDORDER,PLANNEDORDERHEADERTYPE,PlannedOrderIsConvertible,Conversion Indicator,Boolean,,,
API_PRAINTERNALMARKETING,PRAINTERNALMARKETINGRATETRANS_TYPE,SAP__Messages,,Other,,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,Division,Division,String,2.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,BR_IsProducedInHouse,Produced in-house,Boolean,,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOC_TYPE,EarmarkedFundsDocument,Document Number,String,10.0,True,
API_FREIGHTORDER,FREIGHTORDEREVENT_TYPE,TranspOrdEvtActualDateTime,Event Actual Date Time,DateTimeOffset,,,
API_PLANNEDORDER,PLANNEDORDERCAPACITYTYPE,PlannedOrderType,Planned Order Type,String,4.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,SetupCapRequirementFormula,Setup Formula,String,6.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,PurgReleaseSequenceStatus,Release Status,String,8.0,,
API_CNSLDTNFSITEMHIERARCHY,CNSLDTNFSITEMHIERARCHYNODE_TYPE,ParentNode,Hierarchy Parent Node,String,50.0,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,WhseTaskConfUTCDateTime,Time Stamp,DateTimeOffset,,,
API_PAYROLLEARMARKEDFUNDSDOC,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,EmrkdFndsDocItmCreatedByUser,Entered By,String,12.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,SalesDocument,Sales Document,String,10.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,StockType,Stock Type,String,1.0,,
API_WHSE_INB_DELIVERY_2,WHSEINBOUNDDELIVERYHEADTYPE,EWMDelivLastChangeUTCDateTime,Short Time Stamp,DateTimeOffset,,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,Size3,Size 3,Decimal,,,
API_PLANNEDORDER,PLANNEDORDERCOMPONENTTYPE,MRPController,MRP Controller,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,OrderItemQtyToBaseQtyDnmntr,Denominator,Decimal,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,SalesDistrict,Sales District,String,6.0,,
API_RFM_ASSORTMENT_MODULE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,AssortmentModuleName,Assortment Module,String,100.0,,
API_FREIGHTBOOKING,FREIGHTBOOKINGDOCREF_TYPE,TranspOrdDocReferenceID,Business Tr. Doc. ID,String,35.0,,
API_SALESORDER,SALESORDER_TYPE,CustomerPurchaseOrderDate,Customer Reference Date,Date,,,
API_WAREHOUSE_ORDER_TASK_2,WAREHOUSETASKTYPE,WarehouseActivityType,Activity,String,4.0,,
API_WORK_CENTER,WORKCENTERCAPACITYTYPE,AuthorizationGroup,Authorization,String,4.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,IncotermsLocation2,Incoterms Location 2,String,70.0,,
API_RETAILPROMOTION,A_RETAILPROMOTION_TYPE,SalesOrganization,Sales Organization,String,4.0,,
API_RETAILPROMOTION,A_RETAILPROMOTION_TYPE,DistributionChannel,Distribution Channel,String,2.0,,
API_SERVICECONTRACT,SERVICECONTRACTITEM_TYPE,ServiceDocItemCreatedByUser,Created By,String,12.0,,
API_PURCHASEORDER_2,POSUBCONTRACTINGCOMPONENT_TYPE,RequirementDate,Requirement Date,Date,,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,PaymentMethod,Payment Method,String,1.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATIONITEM_TYPE,OrdPriceUnitToOrderUnitDnmntr,Quantity Conversion,Decimal,,,
API_CNTRLREQFORQUOTATION,CENTRALREQUESTFORQUOTATIONTYPE,CreatedByUser,Created By,String,12.0,,
API_SUPPLIERQUOTATION_2,SUPPLIERQUOTATION_TYPE,PurchasingDocumentCategory,Purch. Doc. Category,String,1.0,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,ProductPurchasePointsQtyUnit,Points Unit,String,3.0,,
API_CNTRLREQFORQUOTATION,CENTRALREQFORQUOTATIONITEMTYPE,AddressID,Address,String,10.0,,
API_WORK_CENTER,WORKCENTERHEADERTYPE,WorkCenterInternalID,Work Center Internal Id,String,8.0,True,
API_WRKCTRPOOLEDCAPACITY,WORKCENTERCAPACITYINTERVALTYPE,CapacityPlanUtilizationPercent,Capacity Utilization,String,3.0,,
API_PROJECTBILLINGREQUEST,PROJECTBILLINGREQUEST_TYPE,ProjectBillingRequestUUID,Proj Billg Req UUID,Guid,,True,
API_BILLINGDOCUMENT,BILLINGDOCUMENT_TYPE,AccountingExchangeRateIsSet,Set Exchange Rate,Boolean,,,
API_RETAILPROMOTION,A_RETAILPROMOTIONITEM_TYPE,PromnPlnItmCurrency,Plnd crrncy,String,3.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUESTITEM_TYPE,HigherLevelItem,Higher-Level Item,String,6.0,,
API_SALESORDER,SALESORDERITEM_TYPE,RequestedQuantity,Requested Quantity,Decimal,,,
API_CNSLDTNPLANT,CNSLDTNPLANTTEXT_TYPE,PlantName,Plant Description,String,30.0,,
API_BILLINGDOCUMENTREQUEST,BILLINGDOCUMENTREQUEST_TYPE,Region,Region,String,3.0,,
API_PURCHASEORDER_2,PURCHASEORDER_TYPE,SupplierQuotationExternalID,Quotation,String,10.0,,
API_WORK_CENTER,WORKCENTERCOSTCENTERTYPE,WorkCenterLastChangeDateTime,Date and Time of Last Change,DateTimeOffset,,,
API_PURCHASEORDER_2,PURCHASEORDERITEM_TYPE,PurchaseOrder,Purchase Order,String,10.0,True,True
API_WORK_CENTER,WORKCENTERCAPACITYSHIFTTYPE,TotOperatingDurationInSeconds,Total Operating Duration In Seconds,Int32,,,
API_PURCHASEREQUISITION_2,PURCHASEREQNITEMTYPE,PurReqnReceivingCustomer,Customer,String,10.0,,
API_PROJECTBILLINGREQUEST,WRITTENOFFPRJBLGELMENTRDETS_TYPE,ProjBillgElmntEntrItmUUID,PBE Entry UUID,Guid,,True,
